"","Player","Offseason.Year","Years","AAV","Predicted_AAV","Predicted_Years","AAV_diff","Year_diff"
"59","Dallas Keuchel",2020,3,18500000,13225019.9827,1.42507152843504,5274980.0173,1.57492847156496
"60","Daniel Hudson",2017,2,5500000,6199630.5441,1.61811583626797,-699630.544099999,0.38188416373203
"61","Daniel Hudson",2020,2,5500000,4936069.99923334,1.14219540405421,563930.000766664,0.857804595945788
"62","Darren O'Day",2016,4,7750000,8858783.32143333,2.13582303389074,-1108783.32143333,1.86417696610926
"63","Darren O'Day",2020,1,2750000,4967714.16103333,1.2172149960334,-2217714.16103333,-0.217214996033396
"64","David Hernandez",2018,2,2500000,3766157.499,1.63267633464013,-1266157.499,0.367323665359874
"65","David Phelps",2019,1,2500000,4649290.82903333,1.59977779545503,-2149290.82903333,-0.599777795455033
"66","David Robertson",2019,2,11500000,11039927.1992667,1.74863285149799,460072.80073333,0.251367148502009
"67","David Robertson",2023,1,1e+07,8438442.21073333,1.17555304027069,1561557.78926667,-0.175553040270689
"68","David Robertson",2024,1,11500000,9464331.941,0.970025880648788,2035668.059,0.029974119351212
"69","Derek Holland",2017,1,6e+06,6023891.10836667,1.25112909476144,-23891.1083666673,-0.251129094761438
"70","Derek Holland",2019,1,7e+06,6033561.39046666,1.14541236032086,966438.609533336,-0.145412360320863
"71","Doug Fister",2016,1,7e+06,6214762.22056667,1.63473073425691,785237.779433331,-0.634730734256915
"72","Doug Fister",2017,1,4e+06,4699739.99996667,1.11445706939616,-699739.999966667,-0.114457069396161
"73","Doug Fister",2018,1,4e+06,4662462.77023333,1.20730680484129,-662462.770233331,-0.207306804841286
"74","Drew Pomeranz",2019,1,1500000,3662884.4318,1.66187190433401,-2162884.4318,-0.661871904334012
"75","Drew Pomeranz",2020,4,8500000,7639704.43713333,1.8226879620727,860295.56286667,2.1773120379273
"76","Drew Smyly",2020,1,4e+06,5433182.7746,1.51622589514566,-1433182.7746,-0.516225895145655
"77","Drew Smyly",2022,1,5250000,5373315.55556667,1.17229159391345,-123315.555566668,-0.172291593913454
"78","Drew Smyly",2023,2,9500000,6941766.0978,1.49992518614593,2558233.9022,0.500074813854069
"79","Edinson Volquez",2017,2,1.1e+07,9414882.20126666,1.19700520881283,1585117.79873334,0.802994791187165
"80","Eduardo Rodriguez",2022,5,15400000,14214059.9972333,2.07054333686604,1185940.00276667,2.92945666313396
"81","Eduardo Rodriguez",2024,4,2e+07,8146471.65233333,1.83938672322274,11853528.3476667,2.16061327677726
"82","Fernando Rodney",2016,1,2e+06,2677087.22166667,0.768151156656552,-677087.221666667,0.231848843343448
"83","Fernando Rodney",2017,1,2500000,3649401.66396667,0.841875902950037,-1149401.66396667,0.158124097049963
"84","Francisco Liriano",2018,1,4e+06,4534751.9366,1.24446902717872,-534751.9366,-0.244469027178721
"85","Garrett Richards",2019,2,7750000,7831093.87236667,1.90340202724197,-81093.8723666659,0.0965979727580262
"86","Garrett Richards",2022,1,5500000,5264771.3862,0.805482293123513,235228.613800001,0.194517706876487
"87","Ian Kennedy",2016,5,1.4e+07,10903884.4309,2.09426805233072,3096115.5691,2.90573194766928
"88","Ian Kennedy",2022,1,4750000,4861824.99833333,1.10735306461212,-111824.998333334,-0.107353064612116
"89","J.A. Happ",2016,3,1.2e+07,11820921.4261,2.05519202700962,179078.573899997,0.944807972990379
"90","J.A. Happ",2019,2,1.7e+07,12617943.1274667,1.74555285899983,4382056.87253333,0.254447141000171
"91","J.A. Happ",2021,1,8e+06,5728266.1038,0.980025387908741,2271733.8962,0.0199746120912585
"92","Jake Arrieta",2018,3,2.5e+07,20811774.6022,2.98818561199741,4188225.3978,0.0118143880025889
"93","Jake Arrieta",2021,1,6e+06,6633919.99133333,1.16448755714836,-633919.991333332,-0.164487557148363
"94","Jake Diekman",2020,2,3750000,4495682.22013334,1.89685616709066,-745682.220133335,0.103143832909338
"95","Jake Diekman",2022,2,4e+06,4939922.7768,1.30993561575615,-939922.776799999,0.690064384243855
"96","Jake Odorizzi",2020,1,17800000,15212273.607,2.05856034334774,2587726.393,-1.05856034334774
"97","James Paxton",2021,1,8500000,10472562.1735,2.07200306373958,-1972562.1735,-1.07200306373958
"98","James Paxton",2024,1,7e+06,6915622.21503333,1.56485987701473,84377.7849666653,-0.564859877014732
